prompt,response,quality_rating,criteria,human_rater
Explain the difference between React useState and useReducer,"When to prefer useReducer:
- 3+ related state values that change together
- Next state depends on previous in complex ways
- Many different actions on the same state
- Want to extract state logic and test it independently

Reducer is a pure function — easy to unit test without rendering:
expect(reducer({count:0}, {type:'inc'})).toEqual({count:1})",9,Is the distinction between the hooks explained correctly?,eve
What is a database view and when should you use one?,Use views to hide complexity and give access to a subset of data.,7,Is the view concept explained correctly?,eve
How do you version a REST API and what are the tradeoffs?,Just change the API and update all clients at the same time.,1,Are API versioning strategies explained correctly?,bob
Explain JavaScript closures with an example,Closures are a way to close over variables so they cannot be accessed from outside.,3,Is the closure concept explained correctly with a working example?,eve
How do you mock dependencies in Python unit tests?,Mocks always return None so check if the code handles None.,2,Is mocking in Python explained correctly with practical examples?,alice
Explain the concept of regularization in machine learning,"Dropout (neural network regularization):
During training, randomly zero out p fraction of neurons.
Effect: network learns redundant representations, less reliance on specific neurons.
At inference: use all neurons, scale by (1-p).

Typical rates: 0.2-0.5 for hidden layers.",9,Is regularization explained correctly with L1 and L2 differences?,bob
How would you design a RESTful API for a blog system?,Blog APIs don't need versioning.,3,Is the API design idiomatic REST with correct resource modeling?,alice
What is the difference between process and thread in operating systems?,"In Python:
processing — processes (true parallelism, bypasses GIL)
threading — threads (concurrent but GIL limits to one Python thread)

import multiprocessing as mp
with mp.Pool(4) as pool:
    results = pool.map(cpu_fn, data)  # 4 true parallel processes

import threading
threads = [threading.Thread(target=io_fn) for _ in range(10)]
[t.start() for t in threads]  # concurrent I/O",9,Is the process/thread distinction explained correctly?,eve
How do you handle exceptions in Python?,"try:
    risky_code()
except Exception as e:
    print(e)",6,Does the response explain try/except correctly with good examples?,eve
Explain Python list comprehensions with an example,"List comprehension vs loop:
# Loop
result = []
for x in range(5):
    result.append(x**2)
# Equivalent comprehension
result = [x**2 for x in range(5)]  # faster and more readable",9,Is the explanation accurate and does the example work?,alice
How do you version a REST API and what are the tradeoffs?,"Versioning strategies:

1. URL path (most common):
   /api/v1/users, /api/v2/users
   + Explicit, cacheable, browser-friendly
   - Verbose URLs

2. Query parameter:
   /api/users?version=2
   + Simple
   - Easily ignored, not RESTful

3. HTTP header:
   Accept: application/vnd.myapi.v2+json
   + Clean URLs
   - Harder to test in browser",9,Are API versioning strategies explained correctly?,eve
How does Python handle imports and what is the module system?,"importlib for dynamic imports:
import importlib
mod = importlib.import_module('mypackage.module')
cls = getattr(mod, 'MyClass')

module __file__ attribute:
print(math.__file__)  # path to math.cpython-311.pyc

pip install adds to site-packages:
python -m site  # shows all sys.path entries",9,Is Python's import system explained correctly?,eve
What is test-driven development and what are its benefits?,TDD means writing tests before the code. It helps catch bugs early and gives confidence when changing code.,5,Is TDD explained correctly with honest benefits and tradeoffs?,david
How do you write parameterized tests in pytest?,@pytest.mark.parametrize runs tests in parallel.,3,Is pytest parameterization explained correctly?,bob
How does prototypal inheritance work in JavaScript?,Prototypal inheritance is slower than classical inheritance.,1,Is the prototype chain explained correctly?,carol
"Explain TypeScript utility types: Partial, Required, Pick, Omit",Use any instead of these complex utility types.,2,Are the utility types explained correctly with examples?,alice
What are Python type hints and why should you use them?,Type hints add type information to Python functions and variables. Tools like mypy can check them.,7,Are type hints explained correctly with practical benefits?,alice
What is the difference between git fetch and git pull?,"git fetch: downloads remote changes but does NOT update your working branch.
Safe — lets you inspect before integrating.

git fetch origin         # fetch all branches from origin
git fetch origin main    # fetch only main
git log origin/main      # inspect what changed
git diff HEAD origin/main  # see what's different",8,Is the fetch vs pull distinction explained correctly?,bob
What is a database view and when should you use one?,"Common use cases:
- Report views: complex aggregations for analytics
- API views: expose clean interface, hide internal tables
- Security: grant SELECT on view, not underlying tables
- Compatibility: rename columns transparently

Limitation: views add indirection — complex view chains can be hard to debug and optimize.",10,Is the view concept explained correctly?,bob
What is HTTPS and how does TLS work?,"HSTS (HTTP Strict Transport Security):
Header: Strict-Transport-Security: max-age=31536000; includeSubDomains
Browser will refuse HTTP connections after seeing this header.
Preload list: browsers ship with list of HSTS-only domains.

Certificate Transparency: all issued certs logged publicly → detect misissued certs.",8,Is HTTPS/TLS explained correctly?,david
"What is the difference between IaaS, PaaS, and SaaS?","The more letters in the name, the less you manage.",7,Are the three cloud service models explained accurately?,david
What is memoization and how do you implement it in Python?,"When memoization applies:
✓ Pure functions (same args → same result always)
✓ Expensive computations called repeatedly
✓ Recursive algorithms with overlapping subproblems (DP)

When NOT to use:
✗ Functions with side effects
✗ Functions that return mutable objects (shared mutation bugs)
✗ Very large or non-hashable arguments (can't use as dict key)

Cache invalidation: the hard problem. TTL, event-based, or manual.",10,Is memoization implemented correctly with cache invalidation consideration?,bob
Write a Python function to check if a string is a palindrome,"def palindrome(s):
    return s == ''.join(reversed(s))",5,Is the implementation correct and efficient?,eve
How does Python's memory management and garbage collection work?,The garbage collector handles circular references that reference counting can't free.,7,Is Python's memory management explained correctly?,carol
Explain the Singleton design pattern and when to use it,Singleton means the class can only be extended once.,3,Is the Singleton pattern explained correctly with appropriate caveats?,eve
Explain Python's property decorator,Properties are for class variables that all instances share.,2,Is the property decorator explained correctly with getter/setter/deleter?,carol
